9920120117002男はつらいよ２      コメディ  20110401201411189920141118011000030
9920120117004男はつらいよ４      コメディ  20110401000000000000000000000000000
9920120117005男はつらいよ５      コメディ  20120101000000000000000000000000000
9920120117006男はつらいよ６      コメディ  20110401000000000000000000000000000
9920120117007男はつらいよ７      コメディ  20120101000000000000000000000000000
9920120117008男はつらいよ８      コメディ  20110401000000000000000000000000000
9920120120001カサブランカ        ドラマ    19901120201202109920120120011000040
9920120120002スターウォーズ１    ＳＦ      20000101201510269920141118021000030
9920120120003アイアンマン        アクション19990506201202109920120120010000020
9920120120004トイストーリー２    アニメ    20021212201202109920120120010000020
9920120120005インディージョーンズアクション20050425201202109920120120010000020
9920120120006フラガール2         スポーツ  20060808201202109920120120010000020
9920120120007タイタミック        パニック  19500408201202109920120120010000020
9920120120008愛しのローズマリー  コメディ  19620117201202109920120120010000020
9920120120010シャイニング２      ホラー    19350815201202109920120120010000030
9920120120013アイアンマン        アクション19990506000000000000000000000000000
9920120120014シャイニング１      ホラー    19350815000000000000000000000000000
9920120120015インディージョーンズアクション20050425201202109920120120020000010
9920120120016フラガール          スポーツ  20060808201202109920120120020000010
9920120120017タイタミック        パニック  19500408201202109920120120020000010
9920120120018愛しのローズマリー  コメディ  19620117201202109920120120020000010
9920120120019シャイニング２      ホラー    19350815201202100000000000000000000
9920120120020バタフライエフェクト恋愛      20111231000000000000000000000000000
9920120120021スターウォーズ３    ＳＦ      20000101000000000000000000000000000
9920120122001トイストーリー３    アニメ    20021212000000000000000000000000000
